data downloaded april 25, from https://delphi.cmu.edu/covidcast/indicator/?date=20210419&sensor=fb-survey-smoothed_hh_cmnty_cli and https://delphi.cmu.edu/covidcast/; download from menu covidcast -> explore an indicator; this file is the indicator COVID-Like Symptoms (the value column... and is per 100 individuals ),,,,,,,,
geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
ri,smoothed_cli,3/28/2021,4/2/2021,5,0.8964118,0.2831974,956.9895,state,fb-survey
sc,smoothed_cli,3/28/2021,4/2/2021,5,0.8170562,0.1168832,4827.0045,state,fb-survey
sd,smoothed_cli,3/28/2021,4/2/2021,5,0.802703,0.2695311,922.5315,state,fb-survey
tn,smoothed_cli,3/28/2021,4/2/2021,5,0.8582699,0.1098026,5327.7386,state,fb-survey
tx,smoothed_cli,3/28/2021,4/2/2021,5,0.7981286,0.0606453,17473.4844,state,fb-survey
ut,smoothed_cli,3/28/2021,4/2/2021,5,0.5372067,0.1415345,2329.2188,state,fb-survey
va,smoothed_cli,3/28/2021,4/2/2021,5,0.7031169,0.0893309,7537.1246,state,fb-survey
vt,smoothed_cli,3/28/2021,4/2/2021,5,0.5204209,0.257396,759.0011,state,fb-survey
wa,smoothed_cli,3/28/2021,4/2/2021,5,0.4075098,0.0658604,6714.9458,state,fb-survey
wi,smoothed_cli,3/28/2021,4/2/2021,5,0.6463279,0.1029409,5214.9803,state,fb-survey
wv,smoothed_cli,3/28/2021,4/2/2021,5,0.7813213,0.1773306,2033.0551,state,fb-survey
wy,smoothed_cli,3/28/2021,4/2/2021,5,0.8471406,0.361916,592.8683,state,fb-survey
ak,smoothed_cli,3/29/2021,4/3/2021,5,0.5208333,0.2094261,784,state,fb-survey
al,smoothed_cli,3/29/2021,4/3/2021,5,0.7752538,0.134141,3507.0882,state,fb-survey
ar,smoothed_cli,3/29/2021,4/3/2021,5,0.6222911,0.1557071,2343.1491,state,fb-survey
az,smoothed_cli,3/29/2021,4/3/2021,5,0.4894994,0.0904849,4965.8803,state,fb-survey
ca,smoothed_cli,3/29/2021,4/3/2021,5,0.5038138,0.0440749,21789.2617,state,fb-survey
co,smoothed_cli,3/29/2021,4/3/2021,5,0.4947739,0.0903956,4766.7576,state,fb-survey
ct,smoothed_cli,3/29/2021,4/3/2021,5,0.3267276,0.0866296,3702,state,fb-survey
dc,smoothed_cli,3/29/2021,4/3/2021,5,1.1280488,0.4601886,410,state,fb-survey
de,smoothed_cli,3/29/2021,4/3/2021,5,0.4577922,0.1842799,1100,state,fb-survey
fl,smoothed_cli,3/29/2021,4/3/2021,5,0.5786849,0.0516385,16956.9981,state,fb-survey
ga,smoothed_cli,3/29/2021,4/3/2021,5,0.6988452,0.0962621,6034.9465,state,fb-survey
hi,smoothed_cli,3/29/2021,4/3/2021,5,0.371447,0.1702557,1032,state,fb-survey
ia,smoothed_cli,3/29/2021,4/3/2021,5,0.9438394,0.1500262,3648.4848,state,fb-survey
id,smoothed_cli,3/29/2021,4/3/2021,5,0.8801297,0.1882399,1908.8317,state,fb-survey
il,smoothed_cli,3/29/2021,4/3/2021,5,0.6281178,0.0708353,10487.0004,state,fb-survey
in,smoothed_cli,3/29/2021,4/3/2021,5,0.78543,0.1038068,5586.006,state,fb-survey
ks,smoothed_cli,3/29/2021,4/3/2021,5,0.5732202,0.1309038,2777.9456,state,fb-survey
ky,smoothed_cli,3/29/2021,4/3/2021,5,0.7893733,0.1337075,3690.8844,state,fb-survey
la,smoothed_cli,3/29/2021,4/3/2021,5,0.909425,0.1471107,3433.3687,state,fb-survey
ma,smoothed_cli,3/29/2021,4/3/2021,5,0.5532179,0.09858,4670.0115,state,fb-survey
md,smoothed_cli,3/29/2021,4/3/2021,5,0.3830594,0.0865121,4117.9982,state,fb-survey
me,smoothed_cli,3/29/2021,4/3/2021,5,0.6581358,0.159782,1866.2234,state,fb-survey
mi,smoothed_cli,3/29/2021,4/3/2021,5,1.0366219,0.084668,11817.9998,state,fb-survey
mn,smoothed_cli,3/29/2021,4/3/2021,5,0.5141549,0.0994493,4297.1455,state,fb-survey
mo,smoothed_cli,3/29/2021,4/3/2021,5,0.6025107,0.0979797,4629.5799,state,fb-survey
ms,smoothed_cli,3/29/2021,4/3/2021,5,0.6114123,0.1575039,2189.7897,state,fb-survey
mt,smoothed_cli,3/29/2021,4/3/2021,5,0.5397971,0.1933785,1344.5509,state,fb-survey
nc,smoothed_cli,3/29/2021,4/3/2021,5,0.5546053,0.0753253,8014.0084,state,fb-survey
nd,smoothed_cli,3/29/2021,4/3/2021,5,1.1521735,0.3791175,689.6807,state,fb-survey
ne,smoothed_cli,3/29/2021,4/3/2021,5,0.9153471,0.2082698,1834.0672,state,fb-survey
nh,smoothed_cli,3/29/2021,4/3/2021,5,0.6260948,0.183864,1623.7766,state,fb-survey
nj,smoothed_cli,3/29/2021,4/3/2021,5,0.7561691,0.1002756,6158.9977,state,fb-survey
nm,smoothed_cli,3/29/2021,4/3/2021,5,0.4879623,0.1206846,2709.1419,state,fb-survey
nv,smoothed_cli,3/29/2021,4/3/2021,5,0.4986618,0.1495979,1955.1927,state,fb-survey
ny,smoothed_cli,3/29/2021,4/3/2021,5,0.6754424,0.0661427,12585.0005,state,fb-survey
oh,smoothed_cli,3/29/2021,4/3/2021,5,0.7485891,0.0802607,9857.9988,state,fb-survey
ok,smoothed_cli,3/29/2021,4/3/2021,5,0.6500085,0.1218088,3493.6839,state,fb-survey
or,smoothed_cli,3/29/2021,4/3/2021,5,0.3346197,0.0821161,3827.9423,state,fb-survey
pa,smoothed_cli,3/29/2021,4/3/2021,5,0.8365205,0.0776668,11133.0052,state,fb-survey
ri,smoothed_cli,3/29/2021,4/3/2021,5,0.9039695,0.2855685,948.9885,state,fb-survey
sc,smoothed_cli,3/29/2021,4/3/2021,5,0.7785178,0.1149626,4717.0045,state,fb-survey
sd,smoothed_cli,3/29/2021,4/3/2021,5,0.8866303,0.2830161,902.8032,state,fb-survey
tn,smoothed_cli,3/29/2021,4/3/2021,5,0.9113669,0.1158857,5273.1033,state,fb-survey
tx,smoothed_cli,3/29/2021,4/3/2021,5,0.7698954,0.059396,17224.4883,state,fb-survey
ut,smoothed_cli,3/29/2021,4/3/2021,5,0.5101438,0.1375089,2299.2212,state,fb-survey
va,smoothed_cli,3/29/2021,4/3/2021,5,0.678206,0.0878357,7427.7121,state,fb-survey
vt,smoothed_cli,3/29/2021,4/3/2021,5,0.5591253,0.2561807,778.0009,state,fb-survey
wa,smoothed_cli,3/29/2021,4/3/2021,5,0.4229719,0.0662827,6634.9493,state,fb-survey
wi,smoothed_cli,3/29/2021,4/3/2021,5,0.6908365,0.1066349,5180.9959,state,fb-survey
wv,smoothed_cli,3/29/2021,4/3/2021,5,0.8475999,0.1876727,1992.0556,state,fb-survey
wy,smoothed_cli,3/29/2021,4/3/2021,5,0.6740085,0.3190116,596.8699,state,fb-survey
ak,smoothed_cli,3/30/2021,4/4/2021,5,0.5365747,0.2157154,761,state,fb-survey
al,smoothed_cli,3/30/2021,4/4/2021,5,0.7812253,0.135743,3508.1005,state,fb-survey
ar,smoothed_cli,3/30/2021,4/4/2021,5,0.6789311,0.1619073,2344.0759,state,fb-survey
az,smoothed_cli,3/30/2021,4/4/2021,5,0.458979,0.087979,4972.9352,state,fb-survey
ca,smoothed_cli,3/30/2021,4/4/2021,5,0.4763993,0.042601,21903.2053,state,fb-survey
co,smoothed_cli,3/30/2021,4/4/2021,5,0.4873885,0.0878593,4798.7587,state,fb-survey
ct,smoothed_cli,3/30/2021,4/4/2021,5,0.394515,0.0943381,3645,state,fb-survey
dc,smoothed_cli,3/30/2021,4/4/2021,5,1.1634199,0.4546672,418,state,fb-survey
de,smoothed_cli,3/30/2021,4/4/2021,5,0.637293,0.2233839,1104,state,fb-survey
fl,smoothed_cli,3/30/2021,4/4/2021,5,0.6001435,0.0530911,16941.9982,state,fb-survey
ga,smoothed_cli,3/30/2021,4/4/2021,5,0.742618,0.1006677,5988.9335,state,fb-survey
hi,smoothed_cli,3/30/2021,4/4/2021,5,0.3833016,0.1684136,1049,state,fb-survey
